Season,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1971-72,Kareem Abdul-Jabbar,24,81,44.2,34.8,16.6,4.6,,,0.574,,0.6890000000000001,25.4,0.34
1970-71,Kareem Abdul-Jabbar,23,82,40.1,31.7,16.0,3.3,,,0.5770000000000001,,0.69,22.3,0.326
1969-70,Willis Reed,27,81,38.1,21.7,13.9,2.0,,,0.507,,0.7559999999999999,14.6,0.22699999999999998
1968-69,Wes Unseld,22,82,36.2,13.8,18.2,2.6,,,0.47600000000000003,,0.605,10.8,0.175
1967-68,Wilt Chamberlain,31,82,46.8,24.3,23.8,8.6,,,0.595,,0.38,20.4,0.255
1966-67,Wilt Chamberlain,30,81,45.5,24.1,24.2,7.8,,,0.6829999999999999,,0.441,21.9,0.285
1965-66,Wilt Chamberlain,29,79,47.3,33.5,24.6,5.2,,,0.54,,0.513,21.4,0.275
1964-65,Bill Russell,30,78,44.4,14.1,24.1,5.3,,,0.43799999999999994,,0.573,16.9,0.23399999999999999
1963-64,Oscar Robertson,25,79,45.1,31.4,9.9,11.0,,,0.483,,0.853,20.6,0.278
1962-63,Bill Russell,28,78,44.9,16.8,23.6,4.5,,,0.43200000000000005,,0.555,13.5,0.185
1961-62,Bill Russell,27,76,45.2,18.9,23.6,4.5,,,0.457,,0.595,15.5,0.217
1960-61,Bill Russell,26,78,44.3,16.9,23.9,3.4,,,0.426,,0.55,13.0,0.18100000000000002
1959-60,Wilt Chamberlain,23,72,46.4,37.6,27.0,2.3,,,0.461,,0.5820000000000001,17.0,0.245
1958-59,Bob Pettit,26,72,39.9,29.2,16.4,3.1,,,0.43799999999999994,,0.759,14.8,0.24600000000000002
1957-58,Bill Russell,23,69,38.3,16.6,22.7,2.9,,,0.442,,0.519,11.3,0.20600000000000002
1956-57,Bob Cousy,28,64,36.9,20.6,4.8,7.5,,,0.37799999999999995,,0.821,8.8,0.17800000000000002
1955-56,Bob Pettit,23,72,38.8,25.7,16.2,2.6,,,0.429,,0.736,13.8,0.23600000000000002
